"Impl","date","roast sha1","pass","fail","todo","skip","plan","spec","notes"
"niecza","2013-04-19","eba6362",21033,38,749,1561,23381,24890,""
"pugs","2013-04-19","eba6362",9486,11,3456,1722,14674,24753,""
"rakudo","2013-04-19","eba6362",25107,0,619,1806,27532,24892,""
"niecza","2013-04-18","7df5f66",21036,35,749,1561,23381,24890,""
"pugs","2013-04-18","7df5f66",9486,11,3456,1722,14674,24753,""
"rakudo","2013-04-18","7df5f66",25107,0,619,1806,27532,24892,""
"niecza","2013-04-17","b1677fe",21035,36,749,1561,23381,24889,""
"pugs","2013-04-17","b1677fe",9486,11,3456,1722,14674,24752,""
"rakudo","2013-04-17","b1677fe",25107,0,618,1806,27531,24891,""
"niecza","2013-04-16","8d0b1b8",21041,33,752,1561,23387,24886,""
"pugs","2013-04-16","8d0b1b8",9496,0,3456,1726,14677,24749,""
"rakudo","2013-04-16","8d0b1b8",25098,0,620,1807,27525,24888,""
"niecza","2013-04-15","3117f5b",21042,32,752,1561,23387,24886,""
"pugs","2013-04-15","3117f5b",9496,0,3456,1726,14677,24749,""
"rakudo","2013-04-15","3117f5b",25080,0,638,1807,27525,24888,""
"niecza","2013-04-14","c464098",21036,38,752,1561,23387,24886,""
"pugs","2013-04-14","c464098",9492,8,3456,1722,14677,24749,""
"rakudo","2013-04-14","c464098",25080,0,638,1807,27525,24888,""
"niecza","2013-04-13","2b710bd",21031,39,752,1561,23383,24880,""
"pugs","2013-04-13","2b710bd",9495,0,3456,1725,14675,24743,""
"rakudo","2013-04-13","2b710bd",25073,1,638,1807,27519,24882,""
"niecza","2013-04-12","112afe3",21034,35,752,1561,23382,24879,""
"pugs","2013-04-12","112afe3",9472,41,3447,1715,14674,24742,""
"rakudo","2013-04-12","112afe3",25073,0,638,1807,27518,24881,""
"niecza","2013-04-11","4ac2c2b",21030,39,752,1561,23382,24850,""
"pugs","2013-04-11","4ac2c2b",9472,41,3447,1715,14674,24713,""
"rakudo","2013-04-11","4ac2c2b",25044,0,638,1807,27489,24852,""
"niecza","2013-04-10","4ac2c2b",21027,42,752,1561,23382,24850,""
"pugs","2013-04-10","4ac2c2b",9473,40,3447,1715,14674,24713,""
"rakudo","2013-04-10","4ac2c2b",25043,1,638,1807,27489,24852,""
"niecza","2013-04-09","5058d2a",21031,38,752,1561,23382,24848,""
"pugs","2013-04-09","5058d2a",9473,40,3447,1715,14674,24711,""
"rakudo","2013-04-09","5058d2a",25020,23,637,1807,27487,24850,""
"niecza","2013-04-08","64c7348",21031,34,752,1558,23375,24841,""
"pugs","2013-04-08","64c7348",9490,1,3456,1721,14667,24704,""
"rakudo","2013-04-08","64c7348",25038,0,635,1807,27480,24843,""
"niecza","2013-04-07","f73dd38",21029,36,752,1558,23375,24841,""
"pugs","2013-04-07","f73dd38",9420,83,3455,1704,14661,24704,""
"rakudo","2013-04-07","f73dd38",25038,0,635,1807,27480,24843,""
"niecza","2013-04-06","f73dd38",21030,35,752,1558,23375,24841,""
"pugs","2013-04-06","f73dd38",9419,84,3455,1704,14661,24704,""
"rakudo","2013-04-06","f73dd38",25038,0,635,1807,27480,24843,""
"niecza","2013-04-05","f73dd38",21030,35,752,1558,23375,24841,""
"pugs","2013-04-05","f73dd38",9419,84,3455,1704,14661,24704,""
"rakudo","2013-04-05","f73dd38",25038,0,635,1807,27480,24843,""
"niecza","2013-04-04","e08e40f",21029,35,752,1557,23373,24845,""
"pugs","2013-04-04","e08e40f",9491,0,3456,1715,14661,24708,""
"rakudo","2013-04-04","e08e40f",25030,0,627,1826,27483,24847,""
"niecza","2013-04-03","e08e40f",21027,37,752,1557,23373,24845,""
"pugs","2013-04-03","e08e40f",9491,0,3456,1715,14661,24708,""
"rakudo","2013-04-03","e08e40f",25030,0,627,1826,27483,24847,""
"niecza","2013-04-02","f637132",21027,37,752,1557,23373,24845,""
"pugs","2013-04-02","f637132",9489,2,3456,1715,14661,24708,""
"rakudo","2013-04-02","f637132",25030,0,627,1826,27483,24847,""
"niecza","2013-04-01","f637132",21025,39,752,1557,23373,24845,""
"pugs","2013-04-01","f637132",9491,0,3456,1715,14661,24708,""
"rakudo","2013-04-01","f637132",25030,0,627,1826,27483,24847,""
"niecza","2013-04-01","b86ca3e",21014,36,752,1554,23356,24828,""
"pugs","2013-04-01","b86ca3e",9487,93,3442,1639,14661,24691,""
"rakudo","2013-04-01","b86ca3e",25013,0,627,1826,27466,24830,""
"niecza","2013-03-30","b86ca3e",21015,35,752,1554,23356,24828,""
"pugs","2013-03-30","b86ca3e",9487,93,3442,1639,14661,24691,""
"rakudo","2013-03-30","b86ca3e",25013,0,627,1826,27466,24830,""
"niecza","2013-03-29","8f16996",21013,35,752,1554,23354,24826,""
"pugs","2013-03-29","8f16996",9486,92,3442,1639,14659,24689,""
"rakudo","2013-03-29","8f16996",25010,0,627,1826,27463,24828,""
"niecza","2013-03-28","db2d159",21016,18,753,1554,23341,24812,""
"pugs","2013-03-28","db2d159",9478,0,3456,1711,14645,24675,""
"rakudo","2013-03-28","db2d159",24996,0,627,1826,27449,24814,""
"niecza","2013-03-27","db2d159",21017,17,753,1554,23341,24812,""
"pugs","2013-03-27","db2d159",9478,0,3456,1711,14645,24675,""
"rakudo","2013-03-27","db2d159",24996,0,627,1826,27449,24814,""
"niecza","2013-03-26","db2d159",21015,19,753,1554,23341,24812,""
"pugs","2013-03-26","db2d159",9476,2,3456,1711,14645,24675,""
"rakudo","2013-03-26","db2d159",24996,0,627,1826,27449,24814,""
"niecza","2013-03-25","db2d159",21016,18,753,1554,23341,24812,""
"pugs","2013-03-25","db2d159",9478,0,3456,1711,14645,24675,""
"rakudo","2013-03-25","db2d159",24996,0,627,1826,27449,24814,""
"niecza","2013-03-24","b43c99f",21016,18,753,1554,23341,24812,""
"pugs","2013-03-24","b43c99f",9471,10,3458,1706,14645,24675,""
"rakudo","2013-03-24","b43c99f",24996,0,627,1826,27449,24814,""
"niecza","2013-03-23","b43c99f",21016,18,753,1554,23341,24812,""
"pugs","2013-03-23","b43c99f",9471,10,3458,1706,14645,24675,""
"rakudo","2013-03-23","b43c99f",24996,0,627,1826,27449,24814,""
"niecza","2013-03-22","b43c99f",21017,17,753,1554,23341,24812,""
"pugs","2013-03-22","b43c99f",9471,10,3458,1706,14645,24675,""
"rakudo","2013-03-22","b43c99f",24996,0,627,1826,27449,24814,""
"niecza","2013-03-21","e08d8f4",21018,16,753,1554,23341,24811,""
"pugs","2013-03-21","e08d8f4",9471,10,3458,1706,14645,24674,""
"rakudo","2013-03-21","e08d8f4",24996,0,627,1826,27449,24813,""
"niecza","2013-03-20","e08d8f4",21018,16,753,1554,23341,24811,""
"pugs","2013-03-20","e08d8f4",9471,10,3458,1706,14645,24674,""
"rakudo","2013-03-20","e08d8f4",24996,0,627,1826,27449,24813,""
"niecza","2013-03-19","e08d8f4",21021,13,753,1554,23341,24811,""
"pugs","2013-03-19","e08d8f4",9471,10,3458,1706,14645,24674,""
"rakudo","2013-03-19","e08d8f4",24996,0,627,1826,27449,24813,""
"niecza","2013-03-18","e08d8f4",21018,16,753,1554,23341,24811,""
"pugs","2013-03-18","e08d8f4",9471,10,3458,1706,14645,24674,""
"rakudo","2013-03-18","e08d8f4",24996,0,627,1826,27449,24813,""
"niecza","2013-03-17","01d1162",20940,102,753,1546,23341,24811,""
"pugs","2013-03-17","01d1162",9471,10,3458,1706,14645,24674,""
"rakudo","2013-03-17","01d1162",24996,0,627,1826,27449,24813,""
"niecza","2013-03-16","bbe88fe",21017,17,753,1546,23333,24803,""
"pugs","2013-03-16","bbe88fe",9471,10,3458,1706,14645,24666,""
"rakudo","2013-03-16","bbe88fe",24979,7,629,1826,27441,24805,""
"niecza","2013-03-15","b9fb830",20901,16,753,1546,23216,24799,""
"pugs","2013-03-15","b9fb830",9471,7,3458,1706,14642,24662,""
"rakudo","2013-03-15","b9fb830",24973,9,629,1826,27437,24910,""
"niecza","2013-03-14","cb80e7a",20906,8,753,1546,23213,24796,""
"pugs","2013-03-14","cb80e7a",9471,7,3458,1706,14642,24659,""
"rakudo","2013-03-14","cb80e7a",24968,9,629,1826,27432,24907,""
"niecza","2013-03-13","ee9b043",21022,7,753,1546,23328,24911,""
"pugs","2013-03-13","ee9b043",9471,7,3458,1706,14642,24774,""
"rakudo","2013-03-13","ee9b043",24961,14,641,1818,27434,24913,""
"niecza","2013-03-12","afcb23f",21018,8,753,1546,23325,24908,""
"pugs","2013-03-12","afcb23f",9474,1,3458,1706,14639,24771,""
"rakudo","2013-03-12","afcb23f",24956,14,641,1818,26904,24910,""
"niecza","2013-03-11","9abc448",21018,8,753,1546,23325,24908,""
"pugs","2013-03-11","9abc448",9474,1,3458,1706,14639,24771,""
"rakudo","2013-03-11","9abc448",24956,14,641,1818,27429,24910,""
"niecza","2013-03-10","c9e8cad",21015,11,751,1546,23323,24906,""
"pugs","2013-03-10","c9e8cad",9474,1,3458,1706,14639,24769,""
"rakudo","2013-03-10","c9e8cad",24955,16,638,1818,27427,24908,""
"niecza","2013-03-09","3e1f77b",21017,8,752,1546,23323,24906,""
"pugs","2013-03-09","3e1f77b",9473,2,3458,1706,14639,24769,""
"rakudo","2013-03-09","3e1f77b",24952,16,641,1818,27427,24908,""
"niecza","2013-03-08","6e76108",21014,9,752,1546,23321,24904,""
"pugs","2013-03-08","6e76108",9475,0,3458,1706,14639,24767,""
"rakudo","2013-03-08","6e76108",24907,8,641,1817,27373,24906,""
"niecza","2013-03-07","5a0824c",20903,155,745,1518,23321,24904,""
"pugs","2013-03-07","5a0824c",9475,0,3458,1706,14639,24767,""
"rakudo","2013-03-07","5a0824c",24961,0,642,1818,27421,24906,""
"niecza","2013-03-06","3f50980",20911,154,738,1518,23321,24904,""
"pugs","2013-03-06","3f50980",9475,0,3458,1706,14639,24767,""
"rakudo","2013-03-06","3f50980",24959,0,644,1818,27421,24906,""
"niecza","2013-03-05","0d86772",20902,164,736,1518,23320,24903,""
"pugs","2013-03-05","0d86772",9475,0,3457,1706,14638,24766,""
"rakudo","2013-03-05","0d86772",24950,0,652,1818,27420,24905,""
"niecza","2013-03-04","5e810cf",20877,203,736,1504,23320,24903,""
"pugs","2013-03-04","5e810cf",9475,0,3457,1706,14638,24766,""
"rakudo","2013-03-04","5e810cf",24950,0,652,1818,27420,24905,""
"niecza","2013-03-03","c5b6cfa",20888,175,734,1516,23313,24896,""
"pugs","2013-03-03","c5b6cfa",9446,172,3419,1714,14751,24759,""
"rakudo","2013-03-03","c5b6cfa",24941,3,651,1818,27413,24898,""
"niecza","2013-03-02","87364c3",20850,169,734,1516,23269,24852,""
"pugs","2013-03-02","87364c3",9448,100,3426,1733,14707,24715,""
"rakudo","2013-03-02","87364c3",24896,0,647,1826,27369,24854,""
"niecza","2013-03-01","87364c3",20851,168,734,1516,23269,24852,""
"pugs","2013-03-01","87364c3",9448,100,3426,1733,14707,24715,""
"rakudo","2013-03-01","87364c3",24896,0,647,1826,27369,24854,""
"niecza","2013-02-28","4609872",20852,166,734,1516,23268,24851,""
"pugs","2013-02-28","4609872",9448,99,3426,1733,14706,24714,""
"rakudo","2013-02-28","4609872",24895,0,647,1826,27368,24853,""
"niecza","2013-02-27","7d2d272",20850,163,734,1516,23263,24843,""
"pugs","2013-02-27","7d2d272",9448,96,3426,1733,14703,24706,""
"rakudo","2013-02-27","7d2d272",24887,0,647,1826,27360,24845,""
"niecza","2013-02-26","51dd8c4",20849,163,734,1516,23262,24842,""
"pugs","2013-02-26","51dd8c4",9463,50,3439,1750,14702,24705,""
"rakudo","2013-02-26","51dd8c4",24883,0,647,1826,27356,24844,""
"niecza","2013-02-25","51dd8c4",20849,163,734,1516,23262,24842,""
"pugs","2013-02-25","51dd8c4",9463,50,3439,1750,14702,24705,""
"rakudo","2013-02-25","51dd8c4",24883,0,647,1826,27356,24844,""
"niecza","2013-02-24","51dd8c4",20853,159,734,1516,23262,24842,""
"pugs","2013-02-24","51dd8c4",9463,50,3439,1750,14702,24705,""
"rakudo","2013-02-24","51dd8c4",24883,0,647,1826,27356,24844,""
"niecza","2013-02-23","99165d8",20860,150,734,1516,23260,24840,""
"pugs","2013-02-23","99165d8",9468,43,3439,1750,14700,24703,""
"rakudo","2013-02-23","99165d8",24881,0,647,1826,27354,24842,""
"niecza","2013-02-22","1020dfb",20858,150,735,1516,23259,24839,""
"pugs","2013-02-22","1020dfb",9477,9,3461,1752,14699,24702,""
"rakudo","2013-02-22","1020dfb",24871,0,656,1826,27353,24841,""
"niecza","2013-02-21","0c6083f",20856,149,735,1516,23256,24836,""
"pugs","2013-02-21","0c6083f",9477,7,3461,1752,14697,24699,""
"rakudo","2013-02-21","0c6083f",24851,0,655,1844,27350,24838,""
"niecza","2013-02-20","0c6083f",20856,149,735,1516,23256,24836,""
"pugs","2013-02-20","0c6083f",9477,7,3461,1752,14697,24699,""
"rakudo","2013-02-20","0c6083f",24851,0,655,1844,27350,24838,""
"niecza","2013-02-19","658c88c",20857,149,741,1520,23267,24847,""
"pugs","2013-02-19","658c88c",9486,6,3464,1752,14708,24710,""
"rakudo","2013-02-19","658c88c",24836,0,674,1851,27361,24849,""
"niecza","2013-02-18","658c88c",20858,148,741,1520,23267,24847,""
"pugs","2013-02-18","658c88c",9486,6,3464,1752,14708,24710,""
"rakudo","2013-02-18","658c88c",24836,0,674,1851,27361,24849,""
"niecza","2013-02-17","658c88c",20859,147,741,1520,23267,24847,""
"pugs","2013-02-17","658c88c",9486,6,3464,1752,14708,24710,""
"rakudo","2013-02-17","658c88c",24836,0,674,1851,27361,24849,""
"niecza","2013-02-16","38dd58f",20851,147,741,1520,23259,24839,""
"pugs","2013-02-16","38dd58f",9486,6,3464,1752,14708,24702,""
"rakudo","2013-02-16","38dd58f",24828,0,674,1851,27353,24841,""
"niecza","2013-02-15","38dd58f",20852,146,741,1520,23259,24839,""
"pugs","2013-02-15","38dd58f",9486,7,3463,1752,14708,24702,""
"rakudo","2013-02-15","38dd58f",24828,0,674,1851,27353,24841,""
"niecza","2013-02-14","38dd58f",20852,146,741,1520,23259,24839,""
"pugs","2013-02-14","38dd58f",9486,6,3464,1752,14708,24702,""
"rakudo","2013-02-14","38dd58f",24828,0,674,1851,27353,24841,""
"niecza","2013-02-13","38dd58f",20851,147,741,1520,23259,24839,""
"pugs","2013-02-13","38dd58f",9484,8,3464,1752,14708,24702,""
"rakudo","2013-02-13","38dd58f",24612,218,672,1851,27353,24841,""
"niecza","2013-02-12","38dd58f",20850,148,741,1520,23259,24839,""
"pugs","2013-02-12","38dd58f",9484,8,3464,1752,14708,24702,""
"rakudo","2013-02-12","38dd58f",0,23363,0,0,23363,24618,""
"niecza","2013-02-11","38dd58f",20851,147,741,1520,23259,24839,""
"pugs","2013-02-11","38dd58f",9486,6,3464,1752,14708,24702,""
"rakudo","2013-02-11","38dd58f",24826,2,674,1851,27353,24841,""
"niecza","2013-02-10","38dd58f",20851,147,741,1520,23259,24839,""
"pugs","2013-02-10","38dd58f",9486,6,3464,1752,14708,24702,""
"rakudo","2013-02-10","38dd58f",24826,2,674,1851,27353,24841,""
"niecza","2013-02-09","82f5bc3",20829,147,741,1520,23237,24817,""
"pugs","2013-02-09","82f5bc3",9486,6,3464,1752,14708,24680,""
"rakudo","2013-02-09","82f5bc3",24804,2,674,1851,27331,24819,""
"niecza","2013-02-08","82f5bc3",20833,143,741,1520,23237,24817,""
"pugs","2013-02-08","82f5bc3",9486,6,3464,1752,14708,24680,""
"rakudo","2013-02-08","82f5bc3",24804,2,674,1851,27331,24819,""
"niecza","2013-02-07","82f5bc3",20832,144,741,1520,23237,24817,""
"pugs","2013-02-07","82f5bc3",9486,6,3464,1752,14708,24680,""
"rakudo","2013-02-07","82f5bc3",24804,2,674,1851,27331,24819,""
"niecza","2013-02-06","82f5bc3",20832,144,741,1520,23237,24817,""
"pugs","2013-02-06","82f5bc3",9486,6,3464,1752,14708,24680,""
"rakudo","2013-02-06","82f5bc3",24803,3,674,1851,27331,24819,""
"niecza","2013-02-05","b19c74d",20827,146,741,1520,23234,24814,""
"pugs","2013-02-05","b19c74d",9486,3,3464,1752,14705,24677,""
"rakudo","2013-02-05","b19c74d",24765,26,658,1849,27298,24816,""
"niecza","2013-02-04","b19c74d",20826,147,741,1520,23234,24814,""
"pugs","2013-02-04","b19c74d",9486,3,3464,1752,14705,24677,""
"rakudo","2013-02-04","b19c74d",24785,2,660,1851,27298,24816,""
"niecza","2013-02-03","865c95f",20826,146,741,1520,23233,24813,""
"pugs","2013-02-03","865c95f",9486,3,3464,1752,14705,24676,""
"rakudo","2013-02-03","865c95f",24765,25,658,1849,27297,24815,""
"niecza","2013-02-02","865c95f",20826,146,741,1520,23233,24813,""
"pugs","2013-02-02","865c95f",9484,5,3464,1752,14705,24676,""
"rakudo","2013-02-02","865c95f",24783,3,660,1851,27297,24815,""
"niecza","2013-02-01","865c95f",20826,146,741,1520,23233,24813,""
"pugs","2013-02-01","865c95f",9486,3,3464,1752,14705,24676,""
"rakudo","2013-02-01","865c95f",24764,26,658,1849,27297,24815,""
"niecza","2013-01-31","865c95f",20828,144,741,1520,23233,24813,""
"pugs","2013-01-31","865c95f",9486,3,3464,1752,14705,24676,""
"rakudo","2013-01-31","865c95f",24759,27,660,1851,27297,24815,""
"niecza","2013-01-30","865c95f",20825,147,741,1520,23233,24813,""
"pugs","2013-01-30","865c95f",9486,3,3464,1752,14705,24676,""
"rakudo","2013-01-30","865c95f",24784,2,660,1851,27297,24815,""
"niecza","2013-01-29","865c95f",20825,147,741,1520,23233,24813,""
"pugs","2013-01-29","865c95f",9484,5,3464,1752,14705,24676,""
"rakudo","2013-01-29","865c95f",24752,34,660,1851,27297,24815,""
"niecza","2013-01-28","865c95f",20825,147,741,1520,23233,24813,""
"pugs","2013-01-28","865c95f",9484,5,3464,1752,14705,24647,""
"rakudo","2013-01-28","865c95f",24777,9,660,1851,27297,24815,""
"niecza","2013-01-27","645eda3",20798,145,741,1520,23204,24784,""
"pugs","2013-01-27","645eda3",9484,5,3464,1752,14705,24647,""
"rakudo","2013-01-27","645eda3",24735,24,658,1851,27268,24786,""
"niecza","2013-01-26","645eda3",20799,144,741,1520,23204,24784,""
"pugs","2013-01-26","645eda3",9484,5,3464,1752,14705,24647,""
"rakudo","2013-01-26","645eda3",24755,2,660,1851,27268,24786,""
"niecza","2013-01-25","2018e14",20799,143,741,1520,23203,24783,""
"pugs","2013-01-25","2018e14",9486,3,3464,1752,14705,24646,""
"rakudo","2013-01-25","2018e14",24749,2,660,1851,27262,24785,""
"niecza","2013-01-24","6454b13",20794,142,741,1520,23197,24763,""
"pugs","2013-01-24","6454b13",9481,9,3463,1746,14699,24626,""
"rakudo","2013-01-24","6454b13",24551,131,660,1848,26729,24765,""
"niecza","2013-01-23","9508fb8",20792,144,741,1520,23197,24721,""
"pugs","2013-01-23","9508fb8",9484,3,3464,1748,14699,24584,""
"rakudo","2013-01-23","9508fb8",24681,14,660,1845,27200,24723,""
"niecza","2013-01-22","114fe8c",20794,142,741,1520,23197,24721,""
"pugs","2013-01-22","114fe8c",9484,3,3464,1748,14699,24584,""
"rakudo","2013-01-22","114fe8c",24677,14,663,1846,27200,24723,""
"niecza","2013-01-21","44c5f4d",20792,144,741,1520,23197,24719,""
"pugs","2013-01-21","44c5f4d",9484,3,3464,1748,14699,24582,""
"rakudo","2013-01-21","44c5f4d",24642,41,663,1852,27198,24721,""
"niecza","2013-01-20","53c8fe6",20894,7,748,1538,23187,24709,""
"pugs","2013-01-20","53c8fe6",9485,5,3463,1746,14699,24572,""
"rakudo","2013-01-20","53c8fe6",24614,23,662,1889,27188,24711,""
"niecza","2013-01-19","cf4f001",20891,7,748,1538,23184,24706,""
"pugs","2013-01-19","cf4f001",9484,0,3464,1748,14696,24569,""
"rakudo","2013-01-19","cf4f001",24598,2,662,1891,27153,24708,""
"niecza","2013-01-18","cf4f001",20890,8,748,1538,23184,24706,""
"pugs","2013-01-18","cf4f001",9484,0,3464,1748,14696,24569,""
"rakudo","2013-01-18","cf4f001",24598,2,662,1891,27153,24708,""
"niecza","2013-01-17","cf4f001",20890,8,748,1538,23184,24706,""
"pugs","2013-01-17","cf4f001",9482,2,3464,1748,14696,24569,""
"rakudo","2013-01-17","cf4f001",24598,2,662,1891,27153,24708,""
"niecza","2013-01-16","2d20b19",20825,80,745,1534,23184,24706,""
"pugs","2013-01-16","2d20b19",9484,0,3464,1748,14696,24569,""
"rakudo","2013-01-16","2d20b19",24598,2,662,1891,27153,24708,""
"niecza","2013-01-15","2d20b19",20824,81,745,1534,23184,24706,""
"pugs","2013-01-15","2d20b19",9484,0,3464,1748,14696,24569,""
"rakudo","2013-01-15","2d20b19",24598,2,662,1891,27153,24708,""
"niecza","2013-01-14","dee9fde",20822,83,745,1534,23184,24706,""
"pugs","2013-01-14","dee9fde",8151,2981,2575,906,14613,24567,""
"rakudo","2013-01-14","dee9fde",24598,2,662,1891,27153,24708,""
"niecza","2013-01-13","a03dd1a",20891,6,748,1535,23180,24702,""
"pugs","2013-01-13","a03dd1a",8181,2944,2577,907,14609,24563,""
"rakudo","2013-01-13","a03dd1a",24593,3,662,1891,27149,24704,""
"niecza","2013-01-12","3582496",20851,58,743,1523,23175,24696,""
"pugs","2013-01-12","3582496",8192,2923,2582,909,14606,24557,""
"rakudo","2013-01-12","3582496",24585,3,662,1891,27141,24698,""
"niecza","2013-01-11","6b0ddf1",20784,140,742,1504,23170,24672,""
"pugs","2013-01-11","6b0ddf1",8189,2923,2582,909,14603,24533,""
"rakudo","2013-01-11","6b0ddf1",24567,2,661,1888,27118,24674,""
"niecza","2013-01-10","f493956",20858,40,745,1526,23169,24671,""
"pugs","2013-01-10","f493956",8190,2921,2582,909,14602,24532,""
"rakudo","2013-01-10","f493956",24552,3,664,1898,27117,24673,""
"niecza","2013-01-09","aa20719",20879,13,745,1526,23163,24662,""
"pugs","2013-01-09","aa20719",8190,2921,2582,909,14602,24523,""
"rakudo","2013-01-09","aa20719",24541,2,667,1898,27108,24664,""
"niecza","2013-01-08","dba0788",20882,6,746,1526,23160,24659,""
"pugs","2013-01-08","dba0788",8190,2920,2582,909,14601,24520,""
"rakudo","2013-01-08","dba0788",24537,3,667,1898,27105,24661,""
"niecza","2013-01-07","dba0788",20881,7,746,1526,23160,24659,""
"pugs","2013-01-07","dba0788",8190,2920,2582,909,14601,24520,""
"rakudo","2013-01-07","dba0788",24538,2,667,1898,27105,24661,""
"niecza","2013-01-06","dba0788",20881,7,746,1526,23160,24659,""
"pugs","2013-01-06","dba0788",8190,2920,2582,909,14601,24520,""
"rakudo","2013-01-06","dba0788",24538,2,667,1898,27105,24661,""
"niecza","2013-01-05","ecd7e35",20876,6,746,1526,23154,24653,""
"pugs","2013-01-05","ecd7e35",8184,2920,2582,909,14595,24514,""
"rakudo","2013-01-05","ecd7e35",24532,2,667,1898,27099,24655,""
"niecza","2013-01-04","6ec4397",20760,166,729,1496,22989,24650,""
"pugs","2013-01-04","6ec4397",8299,2785,2591,918,14593,24511,""
"rakudo","2013-01-04","6ec4397",24526,2,667,1898,27093,24652,""
"niecza","2013-01-03","896563b",20867,25,746,1504,22980,24639,""
"pugs","2013-01-03","896563b",8293,2783,2591,918,14585,24500,""
"rakudo","2013-01-03","896563b",24508,0,667,1898,27073,24641,""
"niecza","2013-01-01","ee14752",20865,25,746,1504,22978,24637,""
"pugs","2013-01-01","ee14752",0,14448,0,0,14448,24388,""
"rakudo","2013-01-01","ee14752",24502,2,669,1898,27071,24639,""
"niecza","2012-12-31","ee14752",20865,25,746,1504,22978,24637,""
"pugs","2012-12-31","ee14752",0,14448,0,0,14448,24388,""
"rakudo","2012-12-31","ee14752",24502,2,669,1898,27071,24639,""
"niecza","2012-12-30","ee14752",20864,26,746,1504,22978,24637,""
"pugs","2012-12-30","ee14752",0,14448,0,0,14448,24388,""
"rakudo","2012-12-30","ee14752",24502,2,669,1898,27071,24639,""
"niecza","2012-12-29","9d4767b",20866,24,746,1504,22978,24637,""
"pugs","2012-12-29","9d4767b",0,14448,0,0,14448,24388,""
"rakudo","2012-12-29","9d4767b",24497,2,670,1898,27067,24639,""
"niecza","2012-12-28","f0fb59d",20865,24,746,1504,22977,24630,""
"pugs","2012-12-28","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-28","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-27","f0fb59d",20863,26,746,1504,22977,24630,""
"pugs","2012-12-27","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-27","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-26","f0fb59d",20865,24,746,1504,22977,24630,""
"pugs","2012-12-26","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-26","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-25","f0fb59d",20865,24,746,1504,22977,24630,""
"pugs","2012-12-25","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-25","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-24","f0fb59d",20864,25,746,1504,22977,24630,""
"pugs","2012-12-24","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-24","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-23","f0fb59d",20864,25,746,1504,22977,24630,""
"pugs","2012-12-23","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-23","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-22","f0fb59d",20864,25,746,1504,22977,24630,""
"pugs","2012-12-22","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-22","f0fb59d",24491,2,669,1896,27058,24632,""
"niecza","2012-12-21","f0fb59d",20865,24,746,1504,22977,24630,""
"pugs","2012-12-21","f0fb59d",0,14447,0,0,14447,24381,""
"rakudo","2012-12-21","f0fb59d",24493,2,669,1894,27058,24632,""
"niecza","2012-12-20","60f15db",20862,24,746,1504,22974,24627,""
"pugs","2012-12-20","60f15db",0,14446,0,0,14446,24378,""
"rakudo","2012-12-20","60f15db",24490,2,669,1894,27055,24629,""
"niecza","2012-12-19","",20862,24,746,1504,22974,24627,""
"pugs","2012-12-19","",0,14446,0,0,14446,24378,""
"rakudo","2012-12-19","",24490,2,669,1894,27055,24629,""
"niecza","2012-12-18","60f15db",20862,24,746,1504,22974,24627,""
"pugs","2012-12-18","60f15db",0,14446,0,0,14446,24378,""
"rakudo","2012-12-18","60f15db",24490,2,669,1894,27055,24629,""
"niecza","2012-12-17","a6eefb3",20861,12,747,1504,23124,24613,""
"pugs","2012-12-17","a6eefb3",0,14436,0,0,14436,24364,""
"rakudo","2012-12-17","a6eefb3",24475,2,669,1894,27040,24615,""
"niecza","2012-12-16","b5ce7a2",20815,68,747,1487,23117,24606,""
"pugs","2012-12-16","b5ce7a2",0,14429,0,0,14429,24357,""
"rakudo","2012-12-16","b5ce7a2",24419,61,678,1878,27036,24608,""
"niecza","2012-12-15","6e9eca5",20852,10,749,1505,23116,24605,""
"pugs","2012-12-15","6e9eca5",0,14428,0,0,14428,24356,""
"rakudo","2012-12-15","6e9eca5",0,23099,0,0,23099,24384,""
"niecza","2012-12-14","6e9eca5",20853,9,749,1505,23116,24605,""
"pugs","2012-12-14","6e9eca5",0,14428,0,0,14428,24356,""
"rakudo","2012-12-14","6e9eca5",24458,2,678,1897,27035,24607,""
"niecza","2012-12-13","ba74f5e",20853,13,745,1505,23116,24605,""
"pugs","2012-12-13","ba74f5e",0,14428,0,0,14428,24356,""
"rakudo","2012-12-13","ba74f5e",24284,2,678,1707,26671,24607,""
"niecza","2012-12-12","fd42eb1",20854,12,745,1505,23116,24605,""
"pugs","2012-12-12","fd42eb1",0,14428,0,0,14428,24356,""
